Master,Input 1,Input 2,Input 3
4000,4010-0000,,
4010,4020-0000,,
4020,4025-0000,,
4030,4040-0000,,
4040,4045-0000,,
4050,4071-0000,,
4060,4073-5100,,
4065,,,
4100,,,
4110,4283-0000,,
4111,4284-0000,,
4112,4285-0000,,
4113,4314-0000,,
4114,4286-0000,4287-0000,
4200,4312-0000,,
4210,4310-0000,,
4220,4316-0000,,
4230,4318-0000,,
4240,4322-0000,,
4245,7252-0000,,
4250,4328-0000,,
4260,4329-0000,,
4270,,,
4280,4332-0000,4335-0000,4343-0000
4290,4333-0000,,
4300,4338-0000,4339-0000,
4310,,,
4320,,,
4330,4348-0000,,
4340,4346-0000,,
4350,4073-5200,4073-5410,
4500,4356-0000,,
5100,,,
5110,5230-0000,,
5120,,,
5130,,,
5140,5325-0000,,
5150,5375-0000,,
5160,5395-0000,,
5170,5425-0000,,
5180,5355-0000,,
5200,,,
5210,5710-0000,5748-0000,
5220,5714-0000,,
5230,,,
5240,5720-0000,,
5250,5717-0000,,
5260,5721-0000,5725-0000,
5270,5726-0000,,
5280,5730-0000,,
5290,5734-0000,,
5300,5740-0000,,
5310,5742-0000,,
5320,5750-0000,,
5330,5754-0000,,
5340,5757-0000,,
5400,6110-0000,,
5500,,,
5510,5814-0000,,
5520,5816-0000,5817-0000,
5530,5818-0000,,
5540,5836-0000,,
5550,5842-0000,,
5560,5848-0000,,
5570,5830-0000,,
5600,,,
5610,5025-0000,,
5615,5150-0000,,
5620,5060-0000,5175-0000,
5630,,,
5635,5095-0000,5195-0000,
5640,5190-0000,,
5645,5055-0000,5145-0000,
5650,5070-0000,5182-0000,
5655,5075-0000,5184-0000,
5660,5094-0000,,
5670,5092-0000,5192-0000,
5680,5085-0000,5188-0000,
5690,5096-0000,5196-0000,
5700,5610-0000,,
5710,6010-0000,,
5800,,,
5810,5210-0000,,
5811,5225-0000,,
5812,,,
5813,5260-0000,5265-0000,5340-0000
5814,5285-0000,,
5815,5290-0000,,
5816,5295-0000,,
5817,5310-0000,,
5818,5345-0000,,
5819,5352-0000,,
5820,5360-0000,,
5822,5385-0000,,
5823,,,
5824,5420-0000,,
5825,5220-0000,5405-0000,
5830,,,
5831,,,
5832,,,
5833,5315-0000,,
5834,5245-0000,,
5835,5330-0000,,
5836,5250-0000,5350-0000,
5837,,,
5838,,,
5839,,,
5840,5380-0000,,
5841,5400-0000,,
5842,,,
5850,,,
5851,5351-1000,,
5852,5351-3000,,
5853,,,
5854,5351-3500,5351-8000,
5855,5351-9500,,
5900,,,
5910,5510-0000,,
5915,5515-0000,,
5920,5520-0000,,
5930,5550-0000,,
5940,5530-0000,5540-0000,
5941,5565-0000,,
5950,7221-0000,,
5960,7010-0000,,
5970,,,
